LB,ObjCoeff,y_lp_sum,Dual,ylp,yint
55914.4,0.84084,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-786.645630_-558.630371_-472.385590_-1045.399048_-948.493286_,0,0
55914.4,0.920515,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_-150.036606_0.000000_-2145.819092_-1547.541748_-152.881195_-29.262699_-2085.958008_-1631.895752_-776.517273_-1207.770020_-1595.010254_-2196.415527_-913.317322_-1715.192749_-1614.693604_-1896.845459_-969.633606_-2145.819092_-1946.907349_,0,0
55914.4,0.13645,0.500000_0.250000_0.625000_0.812500_0.406250_0.336643_0.441938_0.639245_0.819623_0.909811_1.000000_1.000000_0.994189_1.000000_0.999401_1.000000_1.000000_0.956611_1.000000_1.000000_,0.000000_0.000000_-273.486389_0.000000_-549.127686_-623.294128_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-343.788513_-478.404297_-483.772308_-1242.072021_-882.047974_-745.872009_-1650.630005_-1497.620972_,1,0
55914.4,0.31813,0.500000_0.412979_0.206490_0.103245_0.413417_0.573191_0.512978_0.338213_0.169107_0.084553_0.000000_0.000000_0.010730_0.000000_0.000599_0.000000_0.000000_0.038284_0.000000_0.000000_,-307.378204_0.000000_0.000000_-1626.739380_-690.020020_0.000000_-240.551605_-888.906189_-1177.893555_0.000000_-1077.167480_-127.140404_-1276.745605_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,1
55914.4,0.852385,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0,0.500000_0.587021_0.293510_0.146755_0.211583_0.105791_0.052896_0.026448_0.013224_0.006612_0.000000_0.010163_0.000000_0.060841_0.060007_0.063708_0.063708_0.005105_0.063708_0.063708_,0.000000_0.000000_-180.859802_0.000000_0.000000_-78.587700_0.000000_-230.007294_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-191.240097_0.000000_0.000000_0.000000_0.000000_0.000000_,0.0637082,0
55914.4,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_-0.000000_-0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.0681302,0.500000_0.412979_0.206490_0.103245_0.189827_0.094914_0.047457_0.023728_0.011864_0.005932_-0.000000_-0.000000_-0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
55914.4,0.47729,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_-0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,0
